7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr,skip_intro,skip_twee
1,Houding staand,1,video,1,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,basic conditions,Attitude,Standing,A relaxed and neutral posture ensures relaxation in the throat area. Too much muscle tension is an important factor in the development of voice problems.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+ attitude+standing.png,conditions de base,Attitude,Debout,Une posture détendue et neutre assure la relaxation au niveau de la gorge. Une tension musculaire excessive est un facteur important dans le développement de problèmes de voix.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+ attitude+standing.png,,
2,Houding zittend,1,video,1,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,basic conditions,Attitude,Sitting,A relaxed and neutral sitting position ensures relaxation in the throat area. Too much muscle tension is an important factor in the development of voice problems.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zitd.png,conditions de base,Attitude,Séance,Une position assise détendue et neutre assure la détente au niveau de la gorge. Une tension musculaire excessive est un facteur important dans le développement de problèmes de voix.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zitd.png,,
3,Buisresonans,1,video,1,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,tension,Relaxation,Tube resonance,"Making noise in the tube changes the air pressure distribution in your larynx. This relaxes your throat, helps your vocal folds close better and contributes to the recovery of your voice.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,tension,Relaxation,Résonance des tubes,"Faire du bruit dans le tube modifie la répartition de la pression de l’air dans votre larynx. Cela détend votre gorge, aide vos cordes vocales à mieux se fermer et contribue à la récupération de votre voix.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,62,120
4,Buisresonans toepassen,2,video,1,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,tension,Relaxation,Apply tube resonance,"By transferring the relaxation from the tube resonance exercise to normal speaking, you build a healthy voice habit.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+application.png,tension,Relaxation,Appliquer la résonance du tube,"En transférant la relaxation de l'exercice de résonance du tube à la parole normale, vous développez une habitude vocale saine.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+application.png,78,
5,Gaapstand,1,video,1,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,tension,Relaxation phonation,Yawning position,"When you yawn, the larynx drops and more space is created in the throat. This gives you a relaxed and powerful sound.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,tension,Phonation de relaxation,Position de bâillement,"Lorsque vous bâillez, le larynx s'abaisse et davantage d'espace se crée dans la gorge. Cela vous donne un son détendu et puissant.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,84,
6,"Liptriller
Doel:
-stem opwarmen
-verhogen ademsteun
-Verleggen van de spanning van de larynx (of: strottenhoofd) naar de lippen 
-toename stemplooi-elongatie en de amplitude van de mucosale golf zonder excessieve spanning ->maar dan in lekentaal of weglaten!",2,video,1,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,tension,Relaxation phonation,Lip trill,Vibrating your lips relaxes your throat and ensures proper closure of your vocal folds. It's a great way to 'warm up' your voice.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,tension,Phonation de relaxation,Contraction des lèvres,Faire vibrer vos lèvres détend votre gorge et assure une bonne fermeture de vos cordes vocales. C'est un excellent moyen de « réchauffer » votre voix.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,43,
7,"ZZ/VV oefening
Doel:
-Betere stemplooisluiting
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,tension,Relaxation phonation,ZZ/VV exercise,Making sounds on ZZ and VV reduces the chance of putting tension around your vocal folds. This allows them to vibrate and close better.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,tension,Phonation de relaxation,Exercice ZZ/VV,Faire des sons sur ZZ et VV réduit le risque de tension autour de vos cordes vocales. Cela leur permet de vibrer et de mieux se fermer.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,99,
8,"Stretchen 
Doel:
-verbeteren lichaamshouding
-stressvermindering door ontspannen spieren
-vermijden onnodige spanning keelgebied.",2,video,1,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,tension,Relaxation phonation,Stretching,"By stretching your muscles, you improve your posture and prevent unnecessary tension in the throat area.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,tension,Phonation de relaxation,Élongation,"En étirant vos muscles, vous améliorez votre posture et évitez les tensions inutiles au niveau de la gorge.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,10,
9,"Roepoefening
Doel:
-Verbeteren van stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,voice production,"breath, volume",Calling exercise,"When you support your voice with your breath, you can increase the volume of your voice in a healthy way and improve your voice power.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roeppraktijk.png,production vocale,"souffle, volume",Exercice d'appel,"Lorsque vous soutenez votre voix avec votre respiration, vous pouvez augmenter le volume de votre voix de manière saine et améliorer votre puissance vocale.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roeppraktijk.png,57,
10,"Roepoefening met beweging
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,voice production,"breath, volume",Calling exercise with movement,"If you use movement and directing your sound, you prevent too much tension in the throat area and you can increase the volume of your voice in a healthy way.",https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+lopen+met+beweging.png,production vocale,"souffle, volume",Appeler l'exercice avec le mouvement,"Si vous utilisez le mouvement et dirigez votre son, vous évitez trop de tension dans la zone de la gorge et vous pouvez augmenter le volume de votre voix de manière saine.",https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+lopen+met+beweging.png,87,
