7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr,skip_intro
1,Houding staand,1,video,1,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,basis voorwaarden,Houding,Staand,Een ontspannen en neutrale houding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+1+houding+staand.png,basic conditions,Attitude,Standing,A relaxed and neutral position ensures relaxation in the throat area. A too high muscle tension is an important factor in the development of voice problems.,https://streaamable.com/l/z5v0mg/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+1+TEGENTER.BOEGEN.PNG,Conditions de base,Attitude,Debout,Une position détendue et neutre garantit la relaxation dans la gorge. Une tension musculaire trop élevée est un facteur important dans le développement des problèmes vocaux.,https://streamable.com/l/z5v0mg/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+1+tegenter.boegen.png,
2,Houding zittend,1,video,1,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,basis voorwaarden,Houding,Zittend,Een ontspannen en neutrale zithouding zorgt voor ontspanning in het keelgebied. Een te hoge spierspanning is een belangrijke factor bij het ontstaan van stemproblemen.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+2+Houding+zittend.png,basic conditions,Attitude,Sitting,A relaxed and neutral sitting position ensures relaxation in the throat area. A too high muscle tension is an important factor in the development of voice problems.,https://streaamable.com/l/spa6m0/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+2+TOTEMENTER.ZENTEND.PNG,Conditions de base,Attitude,Séance,Une position assise détendue et neutre assure la détente dans la gorge. Une tension musculaire trop élevée est un facteur important dans le développement des problèmes vocaux.,https://streamable.com/l/spa6m0/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+2+totementer.zend.png,
3,Buisresonans,1,video,1,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,spanning,Relaxatie,Buisresonans,"Het maken van geluid in de buis verandert de luchtdrukverdeling in je strottenhoofd. Dat zorgt voor ontspanning in je keel, helpt je stemplooien beter te sluiten en draagt bij aan het herstel van je stem.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+3+buisresonans.png,tension,Relaxation,Buisresonans,"Making sound in the tube changes the air pressure distribution into your larynx. This ensures relaxation in your throat, helps your vocal folds to close better and contributes to the recovery of your voice.",https://streaamable.com/l/sy75u3/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+3+buisresonans.png,tension,Relaxation,Buisonans,"Le fait de faire du son dans le tube modifie la distribution de la pression d'air dans votre larynx. Cela garantit la relaxation dans votre gorge, aide vos plis vocaux à mieux fermer et contribue à la récupération de votre voix.",https://streamable.com/l/sy75u3/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+3+buisresonans.png,62
4,Buisresonans toepassen,2,video,1,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,spanning,Relaxatie,Buisresonans toepassen,"Door de ontspanning vanuit de buisresonansoefening mee te nemen naar het normale spreken, bouw je een gezonde stemgewoonte op.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+4+Buisresonans+toepassing.png,tension,Relaxation,Apply Buisresonans,"By taking the relaxation from the Buisresonans exercise to normal speaking, you build a healthy voice habit.",https://streaamable.com/l/6giczf/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+4+buisresonans+ application.png,tension,Relaxation,Appliquer des buisonans,"En prenant la relaxation de l'exercice de Buisonans à Speaking normal, vous construisez une habitude vocale saine.",https://streamable.com/l/6giczf/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+4+buisresonans+ application.png,
5,Gaapstand,1,video,1,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,spanning,Relaxatie fonatie,Gaapstand ,"Wanneer je gaapt, zakt het strottenhoofd en ontstaat er meer ruimte in de keel. Zo krijgt je een ontspannen en draagkrachtig geluid.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+5+gaapstand.png,tension,Relaxation Fonation,Gap,"When you yawn, the larynx drops and more space is created in the throat. This way you get a relaxed and strong sound.",https://streaamable.com/l/hlj52l/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+5+Gaapstand.png,tension,Police de relaxation,Écart,"Lorsque vous bâillez, le larynx tombe et plus d'espace est créé dans la gorge. De cette façon, vous obtenez un son détendu et fort.",https://streamable.com/l/hlj52l/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+5+gaapstand.png,
6,"Liptriller
Doel:
-stem opwarmen
-verhogen ademsteun
-Verleggen van de spanning van de larynx (of: strottenhoofd) naar de lippen 
-toename stemplooi-elongatie en de amplitude van de mucosale golf zonder excessieve spanning ->maar dan in lekentaal of weglaten!",2,video,1,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,spanning,Relaxatie fonatie,Liptriller,Het laten trillen van je lippen zorgt voor ontspanning in je keel en een goede sluiting van je stemplooien. Het is een prima manier om je stem 'op te warmen'.,https://streamable.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+liptriller.png,tension,Relaxation Fonation,Lip triller,Making your lips vibrate ensures relaxation in your throat and a good closure of your vocal folds. It is a great way to 'warm up' your voice.,https://streaMe.com/l/0WH5WY/MP4.MP4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+6+liptriller.png,tension,Police de relaxation,Trille à lèvres,Faire vibrer vos lèvres garantit la relaxation dans votre gorge et une bonne fermeture de vos plis vocaux. C'est un excellent moyen de «réchauffer» votre voix.,https://strememe.com/l/0wh5wy/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+6+liptriller.png,
7,"ZZ/VV oefening
Doel:
-Betere stemplooisluiting
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,spanning,Relaxatie fonatie,ZZ/VV oefening,Geluid maken op ZZ en VV verkleint de kans dat je spanning zet rond je stemplooien. Hierdoor kunnen ze beter trillen en sluiten.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+6+zz_vv.png,tension,Relaxation Fonation,ZZ/VV Exercise,Making a sound on ZZ and VV reduces the chance that you put tension around your vocal folds. This allows them to vibrate and close better.,https://streaamable.com/l/dvq1ik/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+6+ZZ_VV.PNG,tension,Police de relaxation,Exercice ZZ / VV,Faire un son sur ZZ et VV réduit les chances que vous mettiez la tension autour de vos plis vocaux. Cela leur permet de vibrer et de se fermer mieux.,https://streamable.com/l/dvq1ik/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+6+zz_vv.png,
8,"Stretchen 
Doel:
-verbeteren lichaamshouding
-stressvermindering door ontspannen spieren
-vermijden onnodige spanning keelgebied.",2,video,1,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,spanning,Relaxatie fonatie,Stretchen,"Door je spieren te rekken, verbeter je je lichaamshouding en voorkom je onnodige spanning in het keelgebied.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+8+stretch.png,tension,Relaxation Fonation,Stretch,"By stretching your muscles, you improve your posture and prevent unnecessary tension in the throat area.",https://streaamable.com/l/nl7ohy/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+8+stretch.png,tension,Police de relaxation,Extensible,"En étirant vos muscles, vous améliorez votre posture et empêchez les tensions inutiles dans la gorge.",https://streamable.com/l/nl7ohy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+8+stretch.png,
9,"Roepoefening
Doel:
-Verbeteren van stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,stem-productie,"adem, volume",Roepoefening ,"Wanneer je je stem vanuit je adem ondersteunt, kun je op een gezonde manier het volume van je stem vergroten en verbeteren je je stembelastbaarheid.
",https://streamable.com/l/zyreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+9+roepoefening.png,voice production,"breath, volume",Calling exercise,"When you support your voice from your breath, you can increase the volume of your voice in a healthy way and improve your votability.
",https://streaMe.com/l/ZREVE/MP4-HIGH.MP4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+9+Arkefing.png,Production vocale,"Respiration, volume",Exercice de révise,"Lorsque vous soutenez votre voix de votre souffle, vous pouvez augmenter le volume de votre voix de manière saine et améliorer votre votabilité.
",https://strememe.com/l/zreve/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+9+arkefing.png,
10,"Roepoefening met beweging
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging,Als je gebruik maakt van beweging en het richten van je klank voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+10+roepen+met+beweging.png,voice production,"breath, volume",Call exercise with movement,"If you use movement and focus your sound, you prevent too much tension in the throat area and you can increase the volume of your voice in a sent way.",https://streaamable.com/l/7gv1t5/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+10+beetings+met+ movement.png,Production vocale,"Respiration, volume",Appeler l'exercice avec mouvement,"Si vous utilisez le mouvement et concentrez votre son, vous empêchez trop de tension dans la zone de la gorge et vous pouvez augmenter le volume de votre voix de manière envoyée.",https://streamable.com/l/7gv1t5/mp4.mp4,https://voicebuddy.S3,
